        Date           ibcm1  
2023-10-10 08:14:49     13.708
2023-10-10 08:14:51    13.8831
2023-10-10 08:14:53    13.6417
2023-10-10 08:14:55    13.5382
2023-10-10 08:14:57    13.5704
2023-10-10 08:14:59    13.5472
2023-10-10 08:15:01    13.4945
2023-10-10 08:15:03    13.3799
2023-10-10 08:15:05    13.5234
2023-10-10 08:15:07    13.6206
2023-10-10 08:15:09    13.6896
2023-10-10 08:15:11    13.9306
2023-10-10 08:15:13    13.8836
2023-10-10 08:15:17    14.1023
2023-10-10 08:15:19    14.1856
2023-10-10 08:15:21    14.1052
2023-10-10 08:15:23    14.0362
2023-10-10 08:15:25    13.7435
2023-10-10 08:15:27    13.8531
2023-10-10 08:15:29    13.6773
2023-10-10 08:15:31     13.731
2023-10-10 08:15:33     13.771
2023-10-10 08:15:35    13.8435
2023-10-10 08:15:37    13.5434
2023-10-10 08:15:39    13.6313
2023-10-10 08:15:41    13.7576
2023-10-10 08:15:43    13.8745
2023-10-10 08:15:45    13.9489
2023-10-10 08:15:47    13.8045
2023-10-10 08:15:49    13.7055
2023-10-10 08:15:51    13.6223
2023-10-10 08:15:53    13.8697
2023-10-10 08:15:55    14.0217
2023-10-10 08:15:57    14.0762
2023-10-10 08:15:59    13.6897
2023-10-10 08:16:01    13.5793
2023-10-10 08:16:03    13.6361
2023-10-10 08:16:05     13.647
2023-10-10 08:16:07    13.5559
2023-10-10 08:16:11    13.4461
2023-10-10 08:16:13    13.6635
2023-10-10 08:16:17    13.4907
2023-10-10 08:16:19     13.874
2023-10-10 08:16:23    13.7988
2023-10-10 08:16:25    14.5193
2023-10-10 08:16:27      14.45
2023-10-10 08:16:29    14.3254
2023-10-10 08:16:31    14.3913
2023-10-10 08:16:33    14.2594
2023-10-10 08:16:35     14.212
2023-10-10 08:16:37    14.0974
2023-10-10 08:16:39    14.1129
2023-10-10 08:16:41    13.8901
2023-10-10 08:16:45    13.8349
2023-10-10 08:16:47    13.6549
2023-10-10 08:16:49    13.4794
2023-10-10 08:16:51     13.761
2023-10-10 08:16:53    13.6234
2023-10-10 08:16:55    13.7308
2023-10-10 08:16:57    13.6132
2023-10-10 08:16:59    13.7533
2023-10-10 08:17:01    13.8083
2023-10-10 08:17:03     13.606
2023-10-10 08:17:05    13.5345
2023-10-10 08:17:07    13.6678
2023-10-10 08:17:09    13.8259
2023-10-10 08:17:11    13.9761
2023-10-10 08:17:13    14.0249
2023-10-10 08:17:15     13.777
2023-10-10 08:17:17    13.9427
2023-10-10 08:17:19     13.789
2023-10-10 08:17:21    13.8192
2023-10-10 08:17:23    14.1293
2023-10-10 08:17:25    13.8044
2023-10-10 08:17:27    13.5281
2023-10-10 08:17:29    13.6775
2023-10-10 08:17:31    14.0026
2023-10-10 08:17:33    13.8788
2023-10-10 08:17:35    13.8383
2023-10-10 08:17:37    13.8736
2023-10-10 08:17:39    13.8111
2023-10-10 08:17:41    13.8441
2023-10-10 08:17:43    13.7331
2023-10-10 08:17:45    13.7126
2023-10-10 08:17:47    13.9399
2023-10-10 08:17:49    14.1523
2023-10-10 08:17:51    14.1224
2023-10-10 08:17:53    14.1435
2023-10-10 08:17:55    14.0992
2023-10-10 08:17:57    13.8484
2023-10-10 08:17:59    13.8896
2023-10-10 08:18:01    13.8618
2023-10-10 08:18:03    13.6931
2023-10-10 08:18:05    13.8293
2023-10-10 08:18:07    14.0801
2023-10-10 08:18:09    14.0958
2023-10-10 08:18:11    14.0266
2023-10-10 08:18:13    13.9408
2023-10-10 08:18:15    13.7535
2023-10-10 08:18:17    13.8872
2023-10-10 08:18:19    13.8526
2023-10-10 08:18:21    13.9992
2023-10-10 08:18:23    14.0844
2023-10-10 08:18:25    14.0086
2023-10-10 08:18:27    13.8861
2023-10-10 08:18:29    13.7348
2023-10-10 08:18:31    13.6635
2023-10-10 08:18:33    13.8266
2023-10-10 08:18:35    14.1206
2023-10-10 08:18:37     13.952
2023-10-10 08:18:41    14.0441
