        Date        hcnps_intlk_chiller_CZ_read_chiller_temp
2023-11-09 09:20:28                                     20.1
2023-11-09 09:21:22                                    20.08
2023-11-09 09:21:49                                    20.05
2023-11-09 09:22:43                                    20.09
2023-11-09 09:23:10                                    20.06
2023-11-09 09:25:24                                    19.99
2023-11-09 09:25:51                                    20.01
2023-11-09 09:27:12                                    19.96
2023-11-09 09:28:33                                    19.93
2023-11-09 09:29:00                                     19.9
2023-11-09 09:29:27                                    19.94
2023-11-09 09:35:16                                    19.97
2023-11-09 09:36:10                                    19.93
2023-11-09 09:37:04                                    19.96
2023-11-09 09:38:25                                    19.93
2023-11-09 09:39:19                                    19.97
2023-11-09 09:39:45                                    19.94
2023-11-09 09:40:39                                    19.97
2023-11-09 09:42:00                                    19.94
2023-11-09 09:42:27                                    19.98
2023-11-09 09:43:21                                    19.95
2023-11-09 09:45:08                                    19.99
2023-11-09 09:45:35                                    20.01
2023-11-09 09:47:50                                    20.07
2023-11-09 09:48:44                                    20.04
2023-11-09 09:49:37                                    20.08
2023-11-09 09:50:04                                    20.04
2023-11-09 09:51:25                                    20.07
2023-11-09 09:52:46                                    20.03
2023-11-09 09:54:07                                    19.98
2023-11-09 09:57:15                                    20.03
2023-11-09 09:58:09                                       20
2023-11-09 09:58:36                                    20.03
2023-11-09 10:02:38                                    20.07
2023-11-09 10:03:05                                    20.04
2023-11-09 10:06:13                                    20.07
2023-11-09 10:07:34                                    20.04
2023-11-09 10:09:49                                    20.01
2023-11-09 10:10:43                                    19.97
2023-11-09 10:12:30                                    19.94
2023-11-09 10:13:24                                    19.97
2023-11-09 10:13:51                                    20.01
2023-11-09 10:14:18                                    19.97
2023-11-09 10:14:45                                    19.94
2023-11-09 10:15:39                                    19.97
2023-11-09 10:16:59                                       20
2023-11-09 10:21:56                                    19.97
2023-11-09 10:22:22                                    20.01
2023-11-09 10:23:43                                    19.99
2023-11-09 10:25:04                                    19.96
2023-11-09 10:26:25                                       20
2023-11-09 10:31:48                                    20.04
